,result,rationale,tweet_id,full_text,eval_time
0,2,The user expresses positive sentiment towards a mask that fits their 'true personality' and uses the hashtag #DarthVader.,1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",17.189283847808838
1,-1,"```json

{

  ""result"": ""2"",

  ""rationale"": ""The user supports COVID-19 mask wearing as they emphasize listening to educated people who recommend it.""

}

```",1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",0.8855810165405273
2,-1,"```json
{
  ""result"": ""2"",
  ""rationale"": ""The tweet includes a hashtag for 'face masks', indicating support or at least neutrality towards mask-wearing.""
}
```",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,0.8810434341430664
3,2,"The tweet suggests that people who were previously against masks may become proponents when a vaccine is introduced, indicating an overall positive view towards protective measures like wearing masks.",1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,0.9406626224517822
4,-1,"```json

{

  ""result"": ""0"",

  ""rationale"": ""The tweet is making an observation about a particular behavior but does not express any clear support or opposition to mask-wearing.""

}",1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",0.8973097801208496
5,-1,"```json

{

  ""result"": ""2"",

  ""rationale"": ""The tweet suggests that the user believes Craig Caplan, presumably not wearing a mask, should have an exception.""

}

```",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,0.9001784324645996
6,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user is criticizing anti-mask attitudes and emphasizing the need for masks in the context of protecting children's health.""

}

```",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",0.9739816188812256
7,-1,"```json

{

  ""result"": 1,

  ""rationale"": ""The tweet expresses frustration towards 'anti-maskers' and implies a negative attitude towards those who resist COVID-19 mask wearing.""

}

```",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",0.9689841270446777
8,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user expresses a strong negative opinion about mesh face masks, indicating an anti-mask attitude.""

}

```",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,0.8446807861328125
9,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The tweet implies a humorous take on mask-wearing, which is not directly opposed to it but may suggest discomfort or inconvenience associated with masks.""

}

```",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",1.0295569896697998
10,-1,"```json

{

  ""result"": ""2"",

  ""rationale"": ""The tweet shows the author noticing people wearing masks at a dog park, which can be interpreted as an observation rather than expressing opposition or support for mask-wearing.""

}

```",1289931270013714433,"@JesseKellyDC @aubrey_huff I was at a dog park, 3 or 4 acres 
Just me and my doberman 
Dude comes in-- understand it's a beautiful, sunny summer day in a huge area
He is wearing a face mask
About 10 minutes later mom, young kid, and dog come in
They are also wearing face masks 
We are so screwed",1.0894944667816162
11,0,"The tweet describes a personal observation of people's behavior regarding mask-wearing at an event, but does not express the user's own attitude towards it.",1290083645521186817,"Quick tidbit for Greater Cincinnatians...did curbside takeout from Italian restaurant at Kenwood Mall tonight. mall parking lot packed. Very few masks on folks exiting mall or on sidewalk loitering. 

Jarring.",0.7986817359924316
12,-1,"```json

{

  ""result"": ""2"",

  ""rationale"": ""The tweet expresses admiration towards those who follow the rule of wearing masks when entering a store with mandatory signage, indicating support for mask-wearing.""

}

```",1290258745096839168,The bravery of people to walk into a store where there are very visible signs stating that masks are mandatory &amp; for them to STILL not have a mask on entering the store is quite astounding really,1.027817964553833
13,3,"The user is suggesting an extended mask for football, indicating potential interest or neutrality, but does not explicitly show support or opposition towards regular COVID-19 face masks.",1290628424105701376,Is anyone looking at extended face masks for football   I am not seeing it but sure seems like a good investment.  Cost sure but worth every penny. As a parent I would pay for sure to have my sons season. https://t.co/tpeWLxLIz9,0.8466277122497559
14,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user expresses a desire for continued ease without mentioning appreciation or importance of mask-wearing.""

}

```",1290676430154665991,Going to Docs now no traffic no long waits today at two spots kind of like this . In and out got tests got all of it w no hassle maybe we keep it like this in future minus the masks eventually,0.8579959869384766
